Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP11,1.0,SDBBP_02_11,,,Which quotation from “To You” most effectively illustrates the claim?,“Your true soul and body appear before me.”,"“Whoever you are, now I place my hand upon you, that you be my poem.”",“I should have made my way straight to you long ago.”,"“Whoever you are, I fear you are walking the walks of dreams.”",,,,,,,,,,,,,,,
SDBBP12,1.0,SDBBP_02_12,SDBBP_F_02_12,,Which choice best describes data from the table that support the researchers’ claim?,"Hence,",Vietnamese conveys information at approximately the same rate as Spanish despite being spoken at a slower rate.,"Among the five languages in the table, the language that is spoken the fastest is also the language that conveys information the fastest.","Serbian and Spanish are spoken at approximately the same rate, but Serbian conveys information faster than Spanish does.",,,,,,,,,,,,,,,
SDBBP13,1.0,SDBBP_02_13,SDBBP_F_02_13,,Which choice best describes data from the graph that weaken the student’s conclusion?,The spider population count was the same in both enclosures on day 1.,The spider population count also substantially declined by day 30 in the enclosure without lizards.,The largest decline in spider population count in the enclosure with lizards occurred from day 1 to day 10.,The spider population count on day 30 was lower in the enclosure with lizards than in the enclosure without lizards.,,,,,,,,,,,,,,,
SDBBP14,1.0,SDBBP_02_14,,,"Which choice most logically completes the text?
",makes civilian government jobs especially appealing to military veterans.,alters the typical relationship between military service and subsequent career preferences.,encourages nonveterans applying for civilian government jobs to consider military service instead.,increases the number of civilian government jobs that require some amount of military experience to perform.,,,,,,,,,,,,,,,
SDBBP15,1.0,SDBBP_02_15,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"researchers, Roberto Scandone and Christopher Kilburn,","researchers, Roberto Scandone and Christopher Kilburn",researchers Roberto Scandone and Christopher Kilburn,"researchers Roberto Scandone, and Christopher Kilburn",,,,,,,,,,,,,,,
SDBBP16,1.0,SDBBP_02_16,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"sampler later,",sampler;,"sampler,","sampler, later,",,,,,,,,,,,,,,,
SDBBP17,1.0,SDBBP_02_17,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"waterways and the fact that,","waterways, and the fact that,","waterways, and, the fact that",waterways and the fact that,,,,,,,,,,,,,,,
SDBBP18,1.0,SDBBP_02_18,,,Which choice completes the text so that it conforms to the conventions of Standard English?,many critics have focused on Kurosawa’s use of Western literary sources but,"Kurosawa’s use of Western literary sources has been the focus of many critics, who","there are many critics who have focused on Kurosawa’s use of Western literary sources, but they",the focus of many critics has been on Kurosawa’s use of Western literary sources; they,,,,,,,,,,,,,,,
SDBBP19,1.0,SDBBP_02_19,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"Basic; in 2009, an online television network;","Basic; in 2009, an online television network,","Basic, in 2009; an online television network,","Basic, in 2009, an online television network,",,,,,,,,,,,,,,,
SDBBP20,1.0,SDBBP_02_20,,,Which choice completes the text so that it conforms to the conventions of Standard English?,plant. ,plant;,plant,plant:,,,,,,,,,,,,,,,
SDBBP21,1.0,SDBBP_02_21,,,Which choice completes the text with the most logical transition?,"Hence,","Moreover,","Nevertheless,","Next,",,,,,,,,,,,,,,,
SDBBP22,1.0,SDBBP_02_22,,,The student wants to compare the lengths of the two rail tunnels. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Some of the world’s rail tunnels, including one tunnel that extends from Folkestone, England, to Coquelles, France, are longer than 30 miles.","The Seikan Tunnel is roughly 33 miles long, while the slightly shorter Channel Tunnel is about 31 miles long.","The Seikan Tunnel, which is roughly 33 miles long, connects the Japanese islands of Honshu and Hokkaido.","Both the Seikan Tunnel, which is located in Japan, and the Channel Tunnel, which is located in Europe, are examples of rail tunnels.",,,,,,,,,,,,,,,
SDBBP23,1.0,SDBBP_02_23,,,The student wants to specify the reason the Pleiades’ appearance changed. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Ancient Native American and Australian Aboriginal cultures described the Pleiades, which was referred to in Greek mythology as the Seven Sisters, as having seven stars.","Although once referred to as the Seven Sisters, the Pleiades appears to have only six stars today.","In the time since ancient cultures described the Pleiades as having seven stars, two of the cluster’s stars have moved so close together that they now appear as one.","The Pleiades has seven stars, but two are so close together that they appear to be a single star.",,,,,,,,,,,,,,,
SDBBP24,1.0,SDBBP_02_24,,,The student wants to emphasize the fossil’s significance. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Canadian paleobiologist Natalia Rybczynski’s fossil has the skull and teeth of a
seal, which, like sea Eons and walruses, is a pinniped.","Pinnipeds are descended from four-legged, land-dwelling carnivores; a fossil
that resembles both was recently found.","Having four legs but the skull and teeth of a seal, the rare fossil illustrates an
early stage in the evolution of pinnipeds from their land-dwelling ancestors.",A “transitional fossil” was recently found by paleobiologist Natalia Rybczynski.,,,,,,,,,,,,,,,
SDBBP25,1.0,SDBBP_02_25,,,The student wants to emphasize a difference between the two portraits. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"The portraits, or artistic representations, of Luis Jimenez and Rudolfo Anaya were both completed by Enriquez in the early 2000s.","Enriquez has completed portraits of numerous Mexican Americans, including sculptor Luis Jimenez and writer Rudolfo Anaya.","While both are by Enriquez, the 2003 portrait of Luis Jimenez is a painting, and the 2016 portrait of Rudolfo Anaya is a drawing.","Luis Jimenez was a Mexican American sculptor, and Rudolfo Anaya was a Mexican American writer.",,,,,,,,,,,,,,,
SDBBP26,1.0,SDBBP_02_26,,,The student wants to emphasize the role a misconception played in the naming of a place. Which choice most effectively uses relevant information from the notes to accomplish this goal?,The novel $\textit{Las sergas de Esplandian}$ featured a fictional island known as California.,"To the south of the US state of California lies Baja California (“Lower California”), originally called California after a fictional place.","In the sixteenth century, Spanish explorers learned of a peninsula off the west coast of Mexico and called it California.","Thinking it was an island, Spanish explorers called a peninsula California after an island in a popular novel.",,,,,,,,,,,,,,,
SDBBP27,1.0,SDBBP_02_27,,,The student wants to emphasize a similarity between the two paintings. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Monkman, a Cree artist, finished his painting in 2019; Leutze, a German American artist, completed his in 1851.","Although Monkman’s painting was inspired by Leutze’s, the people and actions the two paintings portray are very different.","Leutze’s and Monkman’s paintings are both huge, measuring 149 x 255 inches and 132 x 264 inches, respectively.","Leutze’s painting depicts Revolutionary War soldiers, while Monkman’s depicts Indigenous people and refugees.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
